Date,Close/Last,Volume,Open,High,Low
04/27/2021,$3417.43,3827140,$3443.47,$3460,$3398.01
04/26/2021,$3409,4880708,$3348,$3428.45,$3330.94
04/23/2021,$3340.88,3196652,$3319.1,$3375,$3308.5
04/22/2021,$3309.04,2580590,$3371.68,$3372.87,$3301.45
04/21/2021,$3362.02,2211166,$3316,$3362.86,$3303.8061
04/20/2021,$3334.69,2623032,$3373.6,$3382.99,$3316
04/19/2021,$3372.01,2725405,$3390.33,$3435.9333,$3360.16
04/16/2021,$3399.44,3186049,$3380,$3406.8,$3355.59
04/15/2021,$3379.09,3233580,$3371,$3396.9999,$3352
04/14/2021,$3333,3145204,$3404.04,$3404.13,$3326
04/13/2021,$3400,3315837,$3400.845,$3432,$3395.63
04/12/2021,$3379.39,3281798,$3355.21,$3395.04,$3351.15
04/09/2021,$3372.2,4341473,$3304.7,$3372.2,$3288.9
04/08/2021,$3299.3,2812090,$3310.9,$3324.5,$3292
04/07/2021,$3279.39,3346227,$3233.8,$3303.6125,$3223.65
04/06/2021,$3223.82,2537809,$3223.75,$3247.31,$3217.04
04/05/2021,$3226.73,3334882,$3173,$3235.955,$3161.24
04/01/2021,$3161,2940318,$3117.94,$3162.44,$3115.55
03/31/2021,$3094.08,3093896,$3064.06,$3119.33,$3062.5
03/30/2021,$3055.29,2337603,$3070.01,$3073,$3034
03/29/2021,$3075.73,2745968,$3055.439,$3091.25,$3028.445
